timeStamp,elapsed,responseCode,success,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1559320250592,261,200,true,1597,116,4,4,261,0,131
1559320250620,236,200,true,1592,116,4,4,236,0,115
1559320250719,242,200,true,1592,116,5,5,242,0,116
1559320250820,264,200,true,1592,116,6,6,264,0,133
1559320250861,249,200,true,1597,116,6,6,249,0,123
1559320250861,269,200,true,1608,116,7,7,268,0,132
1559320250916,237,200,true,1614,116,7,7,237,0,109
1559320250962,251,200,true,1608,116,8,8,251,0,123
1559320251015,247,200,true,1592,116,8,8,247,0,116
1559320251085,255,200,true,1592,116,9,9,255,0,121
1559320251111,262,200,true,1592,116,9,9,262,0,122
1559320251115,269,200,true,1608,116,9,9,261,0,130
1559320251131,275,200,true,1597,116,9,9,275,0,133
1559320251154,281,200,true,1592,116,10,10,281,0,126
1559320251214,459,200,true,1592,116,10,10,459,0,141
1559320251213,462,200,true,1592,116,10,10,462,0,142
1559320251263,497,200,true,1592,116,10,10,497,0,131
1559320251319,510,200,true,1608,116,10,10,510,0,240
1559320251341,493,200,true,1613,116,10,10,493,0,259
1559320251374,519,200,true,1592,116,10,10,515,0,341
1559320251385,523,200,true,1597,116,10,10,523,0,354
1559320251407,505,200,true,1613,116,10,10,505,0,351
1559320251416,497,200,true,1613,116,10,10,497,0,344
1559320251436,513,200,true,1614,116,10,10,513,0,349
1559320251674,319,200,true,1597,116,10,10,319,0,198
1559320251676,322,200,true,1608,116,10,10,321,0,199
1559320251761,296,200,true,1608,116,10,10,296,0,174
1559320251835,251,200,true,1614,116,10,10,251,0,120
1559320251830,273,200,true,1592,116,10,10,272,0,123
1559320251894,252,200,true,1614,116,10,10,252,0,119
1559320251908,245,200,true,1614,116,10,10,244,0,126
1559320251912,263,200,true,1592,116,10,10,263,0,136
1559320251913,270,200,true,1592,116,10,10,270,0,144
1559320251950,260,200,true,1592,116,10,10,260,0,128
1559320251994,258,200,true,1614,116,10,10,258,0,119
1559320251998,259,200,true,1614,116,10,10,259,0,124
1559320252058,265,200,true,1592,116,10,10,264,0,123
1559320252087,259,200,true,1614,116,10,10,259,0,129
1559320252104,255,200,true,1592,116,10,10,255,0,131
1559320252147,269,200,true,1613,116,10,10,267,0,131
1559320252154,268,200,true,1592,116,10,10,268,0,132
1559320252176,249,200,true,1592,116,10,10,249,0,127
1559320252183,285,200,true,1614,116,10,10,285,0,142
1559320252211,263,200,true,1592,116,10,10,263,0,133
1559320252253,259,200,true,1597,116,10,10,259,0,119
1559320252257,259,200,true,1614,116,10,10,258,0,123
1559320252323,260,200,true,1592,116,10,10,260,0,128
1559320252360,267,200,true,1614,116,10,10,267,0,131
1559320252347,288,200,true,1597,116,10,10,288,0,134
1559320252417,256,200,true,1592,116,10,10,255,0,120
1559320252423,263,200,true,1608,116,10,10,263,0,138
1559320252425,270,200,true,1597,116,10,10,270,0,140
1559320252468,261,200,true,1592,116,10,10,260,0,127
1559320252475,288,200,true,1592,116,10,10,288,0,145
1559320252516,270,200,true,1613,116,10,10,270,0,128
1559320252513,279,200,true,1608,116,10,10,278,0,122
1559320252584,273,200,true,1608,116,10,10,273,0,124
1559320252628,268,200,true,1592,116,10,10,268,0,133
1559320252636,297,200,true,1608,116,10,10,297,0,150
